rank,repo,pr_number,pr_title,pr_author,total_comments,reviewer_count,state,pr_url
31,AiMarketingtool-pro-fbaf2fad,104,Apply suggested fix to android-patches/src/main/kotlin/com/facebook/r…,Lokeninfinitypoint,4,2,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/104
32,AiMarketingtool-pro-fbaf2fad,20,Potential fixes for 3 code quality findings,Lokeninfinitypoint,3,2,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/20
33,AiMarketingtool-pro-fbaf2fad,106,Add Claude Code GitHub Workflow,Lokeninfinitypoint,3,2,CLOSED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/106
34,AiMarketingtool-pro-fbaf2fad,94,ci: fix failing publish/patch workflows and drop unused Maven CI,Lokeninfinitypoint,3,2,CLOSED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/94
35,AiMarketingtool-pro-fbaf2fad,86,Ai finding autofix/auto,Lokeninfinitypoint,3,1,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/86
36,AiMarketingtool-pro-fbaf2fad,90,Apply suggested fix to SECURITY.md from Copilot Autofix,Lokeninfinitypoint,2,2,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/90
37,AiMarketingtool-pro-fbaf2fad,132,"fix(billing): align Entitlement tier with PlanId, guard null userId, safe error access",copilot-swe-agent,2,1,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/132
38,AiMarketingtool-pro-fbaf2fad,103,fix(android): patch RN 0.85.3 edge-to-edge deprecated APIs (replaces stale 0.83.6 AAR),Lokeninfinitypoint,2,2,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/103
39,AiMarketingtool-pro-fbaf2fad,130,fix: remove hardcoded credentials and improve robustness in asc_clear_sub_rejections.rb,copilot-swe-agent,2,1,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/130
40,AiMarketingtool-pro-fbaf2fad,85,Apply suggested fix to src/screens/tools/MemeGeneratorScreen.tsx from…,Lokeninfinitypoint,2,2,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/85
41,AiMarketingtool-pro-fbaf2fad,129,Harden ASC rejection script config and align billing/dashboard/auth typing + platform labels,copilot-swe-agent,2,1,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/129
42,AiMarketingtool-pro-fbaf2fad,89,Apply suggested fix to App.tsx from Copilot Autofix,Lokeninfinitypoint,2,2,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/89
43,AiMarketingtool-pro-fbaf2fad,78,Add marketingtool-rn-mcp Claude Code plugin + repo marketplace,Lokeninfinitypoint,2,1,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/78
44,AiMarketingtool-pro-fbaf2fad,12,Create codeql.yml,Lokeninfinitypoint,2,1,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/12
45,AiMarketingtool-pro-fbaf2fad,100,fix: react 19.2.6 → 19.2.3 — stops launch crash (matches RN 0.85.3 renderer),Lokeninfinitypoint,2,2,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/100
46,AiMarketingtool-pro-fbaf2fad,59,Claude/review issues merge prs xs n tw,Lokeninfinitypoint,2,1,CLOSED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/59
47,AiMarketingtool-pro-fbaf2fad,74,Potential fixes for 2 code quality findings,Lokeninfinitypoint,1,1,CLOSED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/74
48,AiMarketingtool-pro-fbaf2fad,148,"Fix IAP issues, enhance monetization tools, and update dependencies",Lokeninfinitypoint,1,1,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/148
49,AiMarketingtool-pro-fbaf2fad,79,ci: fix exit-128 submodule cascade + pin actions to full SHA,Lokeninfinitypoint,1,1,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/79
50,AiMarketingtool-pro-fbaf2fad,117,chore(deps): bump org.jetbrains.kotlin.jvm from 2.3.20 to 2.4.0,dependabot,1,1,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/117
51,AiMarketingtool-pro-fbaf2fad,75,Potential fix for 1 code quality finding,Lokeninfinitypoint,1,1,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/75
52,AiMarketingtool-pro-fbaf2fad,146,fix: upgrade joi to 18.2.1 (CVE-2026-48038 / GHSA-q7cg-457f-vx79),copilot-swe-agent,1,1,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/146
53,AiMarketingtool-pro-fbaf2fad,123,Add claude GitHub actions 1780371096658,Lokeninfinitypoint,1,1,CLOSED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/123
54,AiMarketingtool-pro-fbaf2fad,97,Potential fix for code scanning alert no. 406: Workflow does not contain permissions,Lokeninfinitypoint,1,1,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/97
